"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2050,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,524823.051316133,0.104134099168716,5039877,509.919425278441,0.097485493719458,0.235849056603774,-0.0471698113207547,485.866622199269,491314.897630341,238713509.747833,638558638.575454,457916847.202954
2051,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,523649.419339557,0.103901229998184,5039877,511.062284834628,0.0972841775686805,0.235849056603774,-0.0471698113207547,486.955573285825,490300.288992309,238754458.308455,638668175.975118,458026384.602618
2052,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,522605.08659566,0.10369401606342,5039877,512.083551354822,0.0971063892872183,0.235849056603774,-0.0471698113207547,487.928666856953,489404.257921698,238794367.121851,638774932.05095,458133140.67845
2053,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,521674.321541436,0.103509335950349,5039877,512.997204672156,0.0969491266793854,0.235849056603774,-0.0471698113207547,488.799223319696,488611.673721521,238833006.620016,638878292.708542,458236501.336042
2054,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,520842.585447011,0.103344304919944,5039877,513.816412439314,0.0968096437543109,0.235849056603774,-0.0471698113207547,489.579789211044,487908.696935545,238870236.999939,638977883.974838,458336092.602338
2055,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,520096.592691908,0.103196286872062,5039877,514.553397311968,0.0966854526790364,0.235849056603774,-0.0471698113207547,490.282010646309,487282.789191664,238905985.63823,639073511.582266,458431720.209766
2056,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,519424.49504528,0.103062930909877,5039877,515.219192111206,0.0965743509966446,0.235849056603774,-0.0471698113207547,490.916400030489,486722.850377916,238940229.520105,639165113.96628,458523322.59378
2057,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,518816.497872482,0.10294229360607,5039877,515.822973628292,0.0964745314456907,0.235849056603774,-0.0471698113207547,491.491701287335,486219.772118913,238972982.998265,639252729.520358,458610938.147858
2058,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,518264.694500666,0.10283280613806,5039877,516.372177267143,0.0963845483419695,0.235849056603774,-0.0471698113207547,492.014999094165,485766.26834408,239004290.079289,639336475.962097,458694684.589597
2059,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,517762.723612481,0.1027332063089,5039877,516.872800020841,0.0963032554177886,0.235849056603774,-0.0471698113207547,492.492007567028,485356.562005238,239034227.60779,639416558.850839,458774767.478339
2060,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,517305.468022681,0.10264247877928,5039877,517.329673167627,0.096229741512463,0.235849056603774,-0.0471698113207547,492.927330093683,484986.060964607,239062884.163936,639493215.138529,458851423.766029
2061,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516890.57086316,0.102560155905225,5039877,517.744922785307,0.0961636114610779,0.235849056603774,-0.0471698113207547,493.322992465246,484652.773639623,239090356.59848,639566703.900934,458924912.528434
2062,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516512.196338697,0.102485079762601,5039877,518.124200351918,0.0961038199264206,0.235849056603774,-0.0471698113207547,493.684379580601,484351.431659309,239116736.037702,639637268.900852,458995477.528352
2063,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516163.378867099,0.102415868257717,5039877,518.474342924871,0.096049109629251,0.235849056603774,-0.0471698113207547,494.018005994452,484075.698490941,239142111.318866,639705147.777967,459063356.405467
2064,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515836.360934726,0.102350982163796,5039877,518.803033223678,0.0959980741546907,0.235849056603774,-0.0471698113207547,494.331192033882,483818.48597652,239166568.900801,639770571.809643,459128780.437143
2065,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515522.879404577,0.102288781929515,5039877,519.11850936489,0.0959492109539393,0.235849056603774,-0.0471698113207547,494.631787225037,483572.221454907,239190192.150622,639833764.002913,459191972.630413
2066,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515214.981723698,0.102227689628874,5039877,519.428739833344,0.0959010739920669,0.235849056603774,-0.0471698113207547,494.927384180828,483329.617087916,239213063.082444,639894943.745536,459253152.373036
2067,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514906.973773759,0.102166575448916,5039877,519.739452621177,0.095852648989224,0.235849056603774,-0.0471698113207547,495.223440705084,483085.561029863,239235293.688155,639954410.615813,459312619.243313
2068,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514595.6331046,0.102104799999008,5039877,520.053905404212,0.0958033754655775,0.235849056603774,-0.0471698113207547,495.523060809673,482837.228531328,239256981.354704,640012425.123832,459370633.751332
2069,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514279.734753236,0.102042120225005,5039877,520.373350562626,0.0957530585940129,0.235849056603774,-0.0471698113207547,495.827437800238,482583.637687618,239278208.59897,640069208.002245,459427416.629745
2070,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513959.607487169,0.101978601360146,5039877,520.697472722468,0.0957017866372575,0.235849056603774,-0.0471698113207547,496.136271178955,482325.233332022,239299042.760869,640124939.385323,459483148.012823
2071,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513636.812799978,0.101914553232148,5039877,521.02470467633,0.095649871397961,0.235849056603774,-0.0471698113207547,496.448067663295,482063.586911541,239319536.213072,640179759.369967,459537967.997467
2072,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513314.015066287,0.101850504499671,5039877,521.352351280417,0.0955978237068767,0.235849056603774,-0.0471698113207547,496.760259238888,481801.272950343,239339725.252438,640233765.050272,459591973.677772
2073,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512994.811102764,0.101787168834232,5039877,521.676755608334,0.0955463224016199,0.235849056603774,-0.0471698113207547,497.069361475865,481541.712706509,239359631.659019,640287014.687875,459645223.315375
2074,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512683.476264476,0.101725394541271,5039877,521.993551752281,0.0954961677697321,0.235849056603774,-0.0471698113207547,497.371214405475,481288.939530814,239379264.334364,640339532.094424,459697740.721924
2075,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512384.726142779,0.101666117276826,5039877,522.297904378647,0.0954482380864745,0.235849056603774,-0.0471698113207547,497.66121077588,481047.379822547,239398621.483053,640391312.467168,459749521.094668
2076,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512103.263263144,0.101610270104438,5039877,522.58497045055,0.0954034053307277,0.235849056603774,-0.0471698113207547,497.934735995335,480821.428248012,239417690.935574,640442323.25266,459800531.880159
2077,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,511842.72988721,0.101558575712703,5039877,522.850971740816,0.0953623402420809,0.235849056603774,-0.0471698113207547,498.188190054929,480614.465252238,239436450.55823,640492505.243265,459850713.870765
2078,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,511605.525092446,0.101511510120673,5039877,523.093390462588,0.0953254784454584,0.235849056603774,-0.0471698113207547,498.419173931334,480428.686331262,239454868.974143,640541774.505833,459899983.133333
2079,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,511392.915256889,0.101469324599963,5039877,523.310864730239,0.0952930423217414,0.235849056603774,-0.0471698113207547,498.626389978812,480265.212257371,239472909.020301,640590031.629305,459948240.256805
2080,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,511205.06611116,0.101432052034437,5039877,523.503162313746,0.0952650477085362,0.235849056603774,-0.0471698113207547,498.809616921588,480124.122850154,239490529.793699,640637167.198145,459995375.825645
2081,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,511041.23272582,0.101399544617025,5039877,523.67099083682,0.0952413403334964,0.235849056603774,-0.0471698113207547,498.969529004895,480004.640595961,239507689.43833,640683069.247534,460041277.875034
2082,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510900.473597634,0.101371615536973,5039877,523.815268393675,0.0952217291622464,0.235849056603774,-0.0471698113207547,499.107001016614,479905.802705035,239524345.958581,640727625.439204,460085834.066704
2083,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510781.821322456,0.101348072844329,5039877,523.936948278849,0.0952060190741933,0.235849056603774,-0.0471698113207547,499.222941284564,479826.625793588,239540459.435323,640770728.989489,460128937.616989
2084,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510684.268861578,0.101328716724947,5039877,524.037032306821,0.095194008520152,0.235849056603774,-0.0471698113207547,499.31830436782,479766.094078518,239555992.588458,640812280.174124,460170488.801624
2085,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510606.770572036,0.101313339704925,5039877,524.116568999245,0.0951854902902782,0.235849056603774,-0.0471698113207547,499.394089329469,479723.163247696,239570912.240335,640852190.242897,460210398.870397
2086,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510548.226997441,0.101301723632827,5039877,524.176668429291,0.0951802487747964,0.235849056603774,-0.0471698113207547,499.45135388074,479696.746654375,239585189.568714,640890382.096309,460248590.723809
2087,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510507.422730759,0.10129362735058,5039877,524.218565262941,0.0951780485814563,0.235849056603774,-0.0471698113207547,499.491274448651,479685.657950564,239598800.624467,640926791.67045,460285000.29795
2088,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510483.041041035,0.101288789595666,5039877,524.243602988738,0.0951786374918952,0.235849056603774,-0.0471698113207547,499.515131149646,479688.62598674,239611726.92076,640961369.513033,460319578.140533
2089,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510473.684391524,0.10128693307228,5039877,524.253212031871,0.0951817503382155,0.235849056603774,-0.0471698113207547,499.524286936028,479704.314349315,239623955.565478,640994081.137653,460352289.765152
2090,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510477.647527675,0.101287719428009,5039877,524.249141947966,0.0951870689120829,0.235849056603774,-0.0471698113207547,499.520408837213,479731.119307422,239635484.848377,641024921.969409,460383130.596909
2091,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510481.14665323,0.101288413715896,5039877,524.245548448811,0.0951920151121581,0.235849056603774,-0.0471698113207547,499.516984842735,479756.047547418,239646294.330954,641053837.335302,460412045.962802
2092,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,510484.210203773,0.101289021578061,5039877,524.242402312842,0.0951965961724983,0.235849056603774,-0.0471698113207547,499.513987109406,479779.135528062,239656388.919527,641080840.359734,460439048.987234
